Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,48,1.0,1.5,Baseline,150,101.10,306297.77,94.80
gist,48,1.0,1.5,Baseline,150,136.65,222973.38,94.61
gist,48,1.0,1.5,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.5,Baseline,150,112.89,273326.58,93.03
gist,48,1.0,1.5,Baseline,150,119.59,256721.52,93.85
gist,48,1.0,1.5,Baseline,200,59.33,533240.97,96.68
gist,48,1.0,1.5,Baseline,200,57.54,539057.16,96.48
gist,48,1.0,1.5,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.5,Baseline,200,57.14,544780.20,94.94
gist,48,1.0,1.5,Baseline,200,55.99,555754.23,95.70
gist,48,1.0,1.5,MCGI,50,456.34,66307.79,79.31
gist,48,1.0,1.5,MCGI,50,462.64,65797.77,79.85
gist,48,1.0,1.5,MCGI,50,476.77,63720.90,78.93
gist,48,1.0,1.5,MCGI,50,455.02,66600.90,77.22
gist,48,1.0,1.5,MCGI,50,470.91,64444.48,78.23
gist,48,1.0,1.5,MCGI,100,260.81,115875.57,90.45
gist,48,1.0,1.5,MCGI,100,249.92,121034.79,90.34
gist,48,1.0,1.5,MCGI,100,233.56,131420.12,90.04
gist,48,1.0,1.5,MCGI,100,266.42,113336.00,88.50
gist,48,1.0,1.5,MCGI,100,279.32,108012.56,89.23
gist,48,1.0,1.5,MCGI,150,155.81,196203.30,94.39
gist,48,1.0,1.5,MCGI,150,160.96,189890.92,94.38
gist,48,1.0,1.5,MCGI,150,154.04,197275.87,94.02
gist,48,1.0,1.5,MCGI,150,165.47,183310.03,92.46
gist,48,1.0,1.5,MCGI,150,156.68,194759.13,93.69
gist,48,1.0,1.5,MCGI,200,132.08,228869.17,96.46
gist,48,1.0,1.5,MCGI,200,130.27,234108.21,96.17
gist,48,1.0,1.5,MCGI,200,131.53,230853.95,96.23
gist,48,1.0,1.5,MCGI,200,131.93,231406.40,94.76
gist,48,1.0,1.5,MCGI,200,129.25,236531.53,95.43
gist,48,1.0,1.8,Baseline,50,1353.91,20271.24,78.41
gist,48,1.0,1.8,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.8,Baseline,50,1343.38,20289.45,80.08
gist,48,1.0,1.8,Baseline,50,1334.71,20589.09,78.67
gist,48,1.0,1.8,Baseline,50,1325.75,20331.87,79.89
gist,48,1.0,1.8,Baseline,100,741.62,38961.54,88.93
gist,48,1.0,1.8,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.8,Baseline,100,736.02,38841.87,90.80
gist,48,1.0,1.8,Baseline,100,729.01,39337.10,89.69
gist,48,1.0,1.8,Baseline,100,729.60,38926.30,90.94
gist,48,1.0,1.8,Baseline,150,112.89,273326.58,93.03
gist,48,1.0,1.8,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.8,Baseline,150,136.65,222973.38,94.61
gist,48,1.0,1.8,Baseline,150,119.59,256721.52,93.85
gist,48,1.0,1.8,Baseline,150,101.10,306297.77,94.80
gist,48,1.0,1.8,Baseline,200,57.14,544780.20,94.94
gist,48,1.0,1.8,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.8,Baseline,200,57.54,539057.16,96.48
gist,48,1.0,1.8,Baseline,200,55.99,555754.23,95.70
gist,48,1.0,1.8,Baseline,200,59.33,533240.97,96.68
gist,48,1.0,1.8,MCGI,50,474.68,63721.55,78.02
gist,48,1.0,1.8,MCGI,50,454.76,66679.82,79.63
gist,48,1.0,1.8,MCGI,50,467.32,64721.50,79.87
gist,48,1.0,1.8,MCGI,50,475.12,63980.27,78.90
gist,48,1.0,1.8,MCGI,50,468.97,64686.88,79.85
gist,48,1.0,1.8,MCGI,100,242.03,123718.41,88.87
gist,48,1.0,1.8,MCGI,100,241.47,123976.73,90.35
gist,48,1.0,1.8,MCGI,100,234.32,129727.85,90.49
gist,48,1.0,1.8,MCGI,100,250.97,119637.66,89.42
gist,48,1.0,1.8,MCGI,100,219.38,138657.41,90.96
gist,48,1.0,1.8,MCGI,150,159.53,191322.65,93.11
gist,48,1.0,1.8,MCGI,150,158.74,190862.74,94.41
gist,48,1.0,1.8,MCGI,150,157.20,194176.50,94.39
gist,48,1.0,1.8,MCGI,150,156.18,194599.83,93.73
gist,48,1.0,1.8,MCGI,150,154.33,197745.32,94.77
gist,48,1.0,1.8,MCGI,200,130.82,233771.43,95.21
gist,48,1.0,1.8,MCGI,200,129.50,234987.92,96.31
gist,48,1.0,1.8,MCGI,200,134.28,229191.92,96.23
gist,48,1.0,1.8,MCGI,200,131.41,232212.56,95.77
gist,48,1.0,1.8,MCGI,200,129.56,233765.08,96.80
gist,64,1.0,1.2,Baseline,50,717.00,40031.31,81.22
gist,64,1.0,1.2,Baseline,50,685.66,42767.64,81.76
gist,64,1.0,1.2,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.2,Baseline,50,632.25,46455.50,82.43
gist,64,1.0,1.2,Baseline,50,548.82,51678.25,80.62
gist,64,1.0,1.2,Baseline,100,95.19,326552.52,91.38
gist,64,1.0,1.2,Baseline,100,93.43,331773.18,91.84
